Campaign Name,Ad Group Name,Targeting,Match Type,Current Bid,Proposed Bid,Change (%),Action,Clicks,Impressions,Cost,Sales,Orders,ACOS (%),CVR (%),CPC,Target ACOS (%),Confidence,Rationale
"Paint MANUAL ALL","Paint MANUAL ALL","pittura",PHRASE,0.28,0.35,25.0,increase,52,0,14.67,96.55,4,15.2,7.69,0.28,20,OK,"ACOS 15.2% is below target range (16%-22%). CVR: 7.69%. Increasing bid by 25.0% to capture more volume. Formula: 0.28 × (20/15.2) = 0.37, capped at +25%."
"SP Cutting Mat MANUAL","Cutting Mat A1 90x60","tappetini taglio 60x90",BROAD,0.56,0.70,25.0,increase,30,0,15.52,200.66,5,7.7,16.67,0.52,20,OK,"ACOS 7.7% is below target range (16%-22%). CVR: 16.67%. Increasing bid by 25.0% to capture more volume. Formula: 0.56 × (20/7.7) = 1.45, capped at +25%."
"SP Cutting Mat MANUAL","Cutting Mat A1","tappetini taglio a1",BROAD,0.56,0.70,25.0,increase,108,0,59.65,512.73,12,11.6,11.11,0.55,20,Good,"ACOS 11.6% is below target range (16%-22%). CVR: 11.11%. Increasing bid by 25.0% to capture more volume. Formula: 0.56 × (20/11.6) = 0.96, capped at +25%."
"SP Cutting Mat MANUAL","Cutting Mat MANUAL ALL","tappetino per tagliare",PHRASE,0.36,0.45,25.0,increase,90,0,40.67,293.19,13,13.9,14.44,0.45,20,OK,"ACOS 13.9% is below target range (16%-22%). CVR: 14.44%. Increasing bid by 25.0% to capture more volume. Formula: 0.36 × (20/13.9) = 0.52, capped at +25%."
"Stretched Canvas MANUAL Detail","Stretched Canvas MANUAL 50x70","tele 70x50",BROAD,0.76,0.95,25.0,increase,41,0,31.06,203.12,4,15.3,9.76,0.76,20,OK,"ACOS 15.3% is below target range (16%-22%). CVR: 9.76%. Increasing bid by 25.0% to capture more volume. Formula: 0.76 × (20/15.3) = 0.99, capped at +25%."
"Canvas Panel MANUAL Detail","Canvas Panel MANUAL 40x50","tele 40x50",BROAD,0.61,0.76,24.6,increase,32,0,14.62,221.05,6,6.6,18.75,0.46,20,OK,"ACOS 6.6% is below target range (16%-22%). CVR: 18.75%. Increasing bid by 25.0% to capture more volume. Formula: 0.61 × (20/6.6) = 1.84, capped at +25%."
"Stretched Canvas AUTO ALL","Stretched Canvas AUTO ALL","close-match",TARGETING_EXPRESSION_PREDEFINED,0.41,0.51,24.4,increase,332,0,147.14,1197.98,17,12.3,5.12,0.44,20,High,"ACOS 12.3% is below target range (16%-22%). CVR: 5.12%. Increasing bid by 25.0% to capture more volume. Formula: 0.41 × (20/12.3) = 0.67, capped at +25%."
"Canvas Panel AUTO Detail","Canvas Panel AUTO 50x70","loose-match",TARGETING_EXPRESSION_PREDEFINED,0.41,0.51,24.4,increase,52,0,22.09,215.62,4,10.2,7.69,0.42,20,OK,"ACOS 10.2% is below target range (16%-22%). CVR: 7.69%. Increasing bid by 25.0% to capture more volume. Formula: 0.41 × (20/10.2) = 0.80, capped at +25%."
"Stretched Canvas AUTO Detail","Stretched Canvas AUTO 80x100","loose-match",TARGETING_EXPRESSION_PREDEFINED,0.41,0.51,24.4,increase,65,0,27.81,179.21,2,15.5,3.08,0.43,20,OK,"ACOS 15.5% is below target range (16%-22%). CVR: 3.08%. Increasing bid by 25.0% to capture more volume. Formula: 0.41 × (20/15.5) = 0.53, capped at +25%."
"Canvas Panel MANUAL ALL","Canvas Panel MANUAL ALL","tele da pittura",BROAD,0.41,0.51,24.4,increase,41,0,17.67,788.93,6,2.2,14.63,0.43,20,OK,"ACOS 2.2% is below target range (16%-22%). CVR: 14.63%. Increasing bid by 25.0% to capture more volume. Formula: 0.41 × (20/2.2) = 3.66, capped at +25%."
"SP Cutting Mat MANUAL","Cutting Mat MANUAL ALL","cutter per tessuti",BROAD,0.33,0.41,24.2,increase,41,0,13.04,120.37,3,10.8,7.32,0.32,20,OK,"ACOS 10.8% is below target range (16%-22%). CVR: 7.32%. Increasing bid by 25.0% to capture more volume. Formula: 0.33 × (20/10.8) = 0.61, capped at +25%."
"Paint AUTO WATER","Paint AUTO WATER","substitutes",TARGETING_EXPRESSION_PREDEFINED,0.18,0.22,22.2,increase,55,0,10.60,114.67,4,9.2,7.27,0.19,20,OK,"ACOS 9.2% is below target range (16%-22%). CVR: 7.27%. Increasing bid by 25.0% to capture more volume. Formula: 0.18 × (20/9.2) = 0.39, capped at +25%."
