Campaign Name,Ad Group Name,Targeting,Match Type,Current Bid,Proposed Bid,Change (%),Action,Clicks,Impressions,Cost,Sales,Orders,ACOS (%),CVR (%),CPC,Target ACOS (%),Confidence,Rationale
"SP Cutting Mat CAT DETAIL","Cutting Mat A3","category=""Tappetini per taglio per quilting""",TARGETING_EXPRESSION,0.28,0.21,-25.0,decrease,42,0,10.66,31.06,2,34.3,4.76,0.25,20,OK,"ACOS 34.3% exceeds target range (16%-22%). CVR: 4.76%. Decreasing bid by 25.0% to improve efficiency. Formula: 0.28 × (20/34.3) = 0.16, capped at -25%."
"Premium Stretched Canvas CAT Detail","Premium Stretched Canvas CAT 80x120","category=""Tele intelaiate per artisti""",TARGETING_EXPRESSION,0.48,0.36,-25.0,decrease,93,0,41.43,77.01,1,53.8,1.08,0.45,20,OK,"ACOS 53.8% exceeds target range (16%-22%). CVR: 1.08%. Decreasing bid by 25.0% to improve efficiency. Formula: 0.48 × (20/53.8) = 0.18, capped at -25%."
"Premium Stretched Canvas AUTO DETAIL","Premium Stretched Canvas AUTO 90x120","close-match",TARGETING_EXPRESSION_PREDEFINED,0.88,0.66,-25.0,decrease,135,0,110.42,40.12,1,275.2,0.74,0.82,20,Good,"ACOS 275.2% exceeds target range (16%-22%). CVR: 0.74%. Decreasing bid by 25.0% to improve efficiency. Formula: 0.88 × (20/275.2) = 0.06, capped at -25%."
"Slices AUTO","Slices AUTO","close-match",TARGETING_EXPRESSION_PREDEFINED,0.28,0.21,-25.0,decrease,121,0,40.33,105.71,4,38.2,3.31,0.33,20,Good,"ACOS 38.2% exceeds target range (16%-22%). CVR: 3.31%. Decreasing bid by 25.0% to improve efficiency. Formula: 0.28 × (20/38.2) = 0.15, capped at -25%."
"SP AUTO SAB Paint Brush Set 12PC","SP AUTO SAB Paint Brush Set 12PC","close-match",TARGETING_EXPRESSION_PREDEFINED,0.56,0.42,-25.0,decrease,69,0,34.44,71.50,6,48.2,8.70,0.50,20,OK,"ACOS 48.2% exceeds target range (16%-22%). CVR: 8.70%. Decreasing bid by 25.0% to improve efficiency. Formula: 0.56 × (20/48.2) = 0.23, capped at -25%."
"Stretched Canvas AUTO Detail","Stretched Canvas AUTO 50x70","close-match",TARGETING_EXPRESSION_PREDEFINED,0.48,0.36,-25.0,decrease,143,0,73.57,244.59,6,30.1,4.20,0.51,20,Good,"ACOS 30.1% exceeds target range (16%-22%). CVR: 4.20%. Decreasing bid by 25.0% to improve efficiency. Formula: 0.48 × (20/30.1) = 0.32, capped at -25%."
"Paint MANUAL OIL","Paint MANUAL OIL 12ml","colori a olio",EXACT,0.36,0.27,-25.0,decrease,612,0,228.64,648.37,36,35.3,5.88,0.37,20,High,"ACOS 35.3% exceeds target range (16%-22%). CVR: 5.88%. Decreasing bid by 25.0% to improve efficiency. Formula: 0.36 × (20/35.3) = 0.20, capped at -25%."
"Paint MANUAL OIL","Paint MANUAL OIL 12ml","colori a olio professionali",BROAD,0.48,0.36,-25.0,decrease,172,0,73.64,244.37,16,30.1,9.30,0.43,20,Good,"ACOS 30.1% exceeds target range (16%-22%). CVR: 9.30%. Decreasing bid by 25.0% to improve efficiency. Formula: 0.48 × (20/30.1) = 0.32, capped at -25%."
"Paint MANUAL OIL","Paint MANUAL OIL 12ml","colori ad olio per tela",BROAD,0.36,0.27,-25.0,decrease,192,0,66.39,247.61,17,26.8,8.85,0.35,20,Good,"ACOS 26.8% exceeds target range (16%-22%). CVR: 8.85%. Decreasing bid by 25.0% to improve efficiency. Formula: 0.36 × (20/26.8) = 0.27, capped at -25%."
"Paint AUTO GOUACHE","Paint AUTO GOUACHE","complements",TARGETING_EXPRESSION_PREDEFINED,0.28,0.21,-25.0,decrease,32,0,8.58,13.89,1,61.8,3.13,0.27,20,OK,"ACOS 61.8% exceeds target range (16%-22%). CVR: 3.13%. Decreasing bid by 25.0% to improve efficiency. Formula: 0.28 × (20/61.8) = 0.09, capped at -25%."
"Rotary Cutters AUTO","Rotary cutters AUTO","complements",TARGETING_EXPRESSION_PREDEFINED,0.12,0.09,-25.0,decrease,41,0,4.81,18.78,2,25.6,4.88,0.12,20,OK,"ACOS 25.6% exceeds target range (16%-22%). CVR: 4.88%. Decreasing bid by 21.9% to improve efficiency. Formula: 0.12 × (20/25.6) = 0.09, capped at -25%."
"SP Cutting Mat AUTO DETAIL","Cutting Mat A1","complements",TARGETING_EXPRESSION_PREDEFINED,0.36,0.27,-25.0,decrease,37,0,12.17,9.80,1,124.2,2.70,0.33,20,OK,"ACOS 124.2% exceeds target range (16%-22%). CVR: 2.70%. Decreasing bid by 25.0% to improve efficiency. Formula: 0.36 × (20/124.2) = 0.06, capped at -25%."
"SP Cutting Mat MANUAL","Cutting Mat A1","cutting mat a1",PHRASE,0.56,0.42,-25.0,decrease,32,0,18.20,65.49,2,27.8,6.25,0.57,20,OK,"ACOS 27.8% exceeds target range (16%-22%). CVR: 6.25%. Decreasing bid by 25.0% to improve efficiency. Formula: 0.56 × (20/27.8) = 0.40, capped at -25%."
"Books MANUAL","Water MANUAL","fogli da acquerello",PHRASE,0.28,0.21,-25.0,decrease,55,0,16.94,62.08,5,27.3,9.09,0.31,20,OK,"ACOS 27.3% exceeds target range (16%-22%). CVR: 9.09%. Decreasing bid by 25.0% to improve efficiency. Formula: 0.28 × (20/27.3) = 0.21, capped at -25%."
"Paint MANUAL GOUACHE","Paint MANUAL GOUACHE","gouache set",BROAD,0.36,0.27,-25.0,decrease,69,0,25.27,27.78,1,91.0,1.45,0.37,20,OK,"ACOS 91.0% exceeds target range (16%-22%). CVR: 1.45%. Decreasing bid by 25.0% to improve efficiency. Formula: 0.36 × (20/91.0) = 0.08, capped at -25%."
"Books AUTO","Sketch AUTO","loose-match",TARGETING_EXPRESSION_PREDEFINED,0.16,0.12,-25.0,decrease,62,0,9.58,9.80,1,97.8,1.61,0.15,20,OK,"ACOS 97.8% exceeds target range (16%-22%). CVR: 1.61%. Decreasing bid by 25.0% to improve efficiency. Formula: 0.16 × (20/97.8) = 0.03, capped at -25%."
