State,Campaigns,Status,Type,Targeting,Campaign bidding strategy,Start date,End date,Portfolio,Budget(EUR),Top-of-search IS,Cost type,Impressions,Clicks,CTR,Spend(EUR),CPC(EUR),DPV,Orders,Sales(EUR),ACOS,ROAS,NTB orders,% of orders NTB,NTB sales(EUR),% of sales NTB,Viewable impressions,VCPM(EUR),Video first quartile,Video midpoint,Video third quartile,Video complete,Video unmute,VTR,vCTR,CPM(EUR)
ENABLED,Cutting Mat MANUAL A3 Hellgrau,CAMPAIGN_STATUS_ENABLED,SP,MANUAL,Dynamic bids - down only,9/26/24,,Cutting Mat X-Detail,20.00,,CPC,0,0,0,0.00,0.00,0,0,0.00,0,0,0,0,0.00,0,0,0.00,0,0,0,0,0,0,0,0.00
ENABLED,Cutting Mat MANUAL A3 Hellgrun,CAMPAIGN_STATUS_ENABLED,SP,MANUAL,Dynamic bids - down only,7/24/24,,Cutting Mat X-Detail,20.00,>95%,CPC,1,0,0,0.00,0.00,0,0,0.00,0,0,0,0,0.00,0,0,0.00,0,0,0,0,0,0,0,0.00
ENABLED,Cutting Mat MANUAL A3 Pink,CAMPAIGN_STATUS_ENABLED,SP,MANUAL,Dynamic bids - down only,7/24/24,,Cutting Mat X-Detail,20.00,44.73684210526316%,CPC,333,16,0.048,9.15,0.57,0,5,75.41,0.1213,8.2415,0,0,0.00,0,0,0.00,0,0,0,0,0,0,0,0.00
ENABLED,Cutting Mat MANUAL A3 Purple,CAMPAIGN_STATUS_ENABLED,SP,MANUAL,Dynamic bids - down only,7/24/24,,Cutting Mat X-Detail,20.00,36.61971830985916%,CPC,90,2,0.0222,1.73,0.87,0,0,0.00,0,0,0,0,0.00,0,0,0.00,0,0,0,0,0,0,0,0.00
ENABLED,Cutting Mat MANUAL A3 Taupe,CAMPAIGN_STATUS_ENABLED,SP,MANUAL,Dynamic bids - down only,7/24/24,,Cutting Mat X-Detail,20.00,50.0%,CPC,1,0,0,0.00,0.00,0,0,0.00,0,0,0,0,0.00,0,0,0.00,0,0,0,0,0,0,0,0.00
ENABLED,Cutting Mat MANUAL A4 Beige,CAMPAIGN_STATUS_ENABLED,SP,MANUAL,Dynamic bids - down only,7/24/24,,Cutting Mat X-Detail,10.00,<5%,CPC,2,0,0,0.00,0.00,0,0,0.00,0,0,0,0,0.00,0,0,0.00,0,0,0,0,0,0,0,0.00
ENABLED,Cutting Mat MANUAL A4 Black,CAMPAIGN_STATUS_ENABLED,SP,MANUAL,Dynamic bids - down only,7/24/24,,Cutting Mat X-Detail,10.00,36.666666666666664%,CPC,162,7,0.0432,3.38,0.48,0,3,22.56,0.1498,6.6746,0,0,0.00,0,0,0.00,0,0,0,0,0,0,0,0.00
ENABLED,Cutting Mat MANUAL A4 Blau,CAMPAIGN_STATUS_ENABLED,SP,MANUAL,Dynamic bids - down only,7/24/24,,Cutting Mat X-Detail,10.00,20.8955223880597%,CPC,69,3,0.0435,1.76,0.59,0,1,7.52,0.234,4.2727,0,0,0.00,0,0,0.00,0,0,0,0,0,0,0,0.00
ENABLED,Cutting Mat MANUAL A4 Braun,CAMPAIGN_STATUS_ENABLED,SP,MANUAL,Dynamic bids - down only,7/24/24,,Cutting Mat X-Detail,10.00,50.0%,CPC,1,0,0,0.00,0.00,0,0,0.00,0,0,0,0,0.00,0,0,0.00,0,0,0,0,0,0,0,0.00
ENABLED,Cutting Mat MANUAL A4 Dunkelblau,CAMPAIGN_STATUS_ENABLED,SP,MANUAL,Dynamic bids - down only,7/24/24,,Cutting Mat X-Detail,10.00,50.0%,CPC,2,0,0,0.00,0.00,0,0,0.00,0,0,0,0,0.00,0,0,0.00,0,0,0,0,0,0,0,0.00
ENABLED,Cutting Mat MANUAL A4 Dunkelgrau,CAMPAIGN_STATUS_ENABLED,SP,MANUAL,Dynamic bids - down only,9/26/24,,Cutting Mat X-Detail,20.00,,CPC,0,0,0,0.00,0.00,0,0,0.00,0,0,0,0,0.00,0,0,0.00,0,0,0,0,0,0,0,0.00
ENABLED,Cutting Mat MANUAL A4 Dunkelgrun,CAMPAIGN_STATUS_ENABLED,SP,MANUAL,Dynamic bids - down only,7/24/24,,Cutting Mat X-Detail,10.00,,CPC,0,0,0,0.00,0.00,0,0,0.00,0,0,0,0,0.00,0,0,0.00,0,0,0,0,0,0,0,0.00
ENABLED,Cutting Mat MANUAL A4 Grau,CAMPAIGN_STATUS_ENABLED,SP,MANUAL,Dynamic bids - down only,9/26/24,,Cutting Mat X-Detail,20.00,16.27906976744186%,CPC,28,2,0.0714,0.38,0.19,0,1,7.52,0.0505,19.7895,0,0,0.00,0,0,0.00,0,0,0,0,0,0,0,0.00
ENABLED,Cutting Mat MANUAL A4 Grun,CAMPAIGN_STATUS_ENABLED,SP,MANUAL,Dynamic bids - down only,7/24/24,,Cutting Mat X-Detail,10.00,17.24137931034483%,CPC,48,3,0.0625,1.73,0.58,0,0,0.00,0,0,0,0,0.00,0,0,0.00,0,0,0,0,0,0,0,0.00
ENABLED,Cutting Mat MANUAL A4 Hellblau,CAMPAIGN_STATUS_ENABLED,SP,MANUAL,Dynamic bids - down only,7/24/24,,Cutting Mat X-Detail,10.00,<5%,CPC,3,0,0,0.00,0.00,0,0,0.00,0,0,0,0,0.00,0,0,0.00,0,0,0,0,0,0,0,0.00
ENABLED,Cutting Mat MANUAL A4 Hellgrau,CAMPAIGN_STATUS_ENABLED,SP,MANUAL,Dynamic bids - down only,9/26/24,,Cutting Mat X-Detail,20.00,33.33333333333333%,CPC,2,1,0.5,0.64,0.64,0,1,7.52,0.0851,11.75,0,0,0.00,0,0,0.00,0,0,0,0,0,0,0,0.00
ENABLED,Cutting Mat MANUAL A4 Hellgrun,CAMPAIGN_STATUS_ENABLED,SP,MANUAL,Dynamic bids - down only,7/24/24,,Cutting Mat X-Detail,10.00,,CPC,0,0,0,0.00,0.00,0,0,0.00,0,0,0,0,0.00,0,0,0.00,0,0,0,0,0,0,0,0.00
ENABLED,Cutting Mat MANUAL A4 Pink,CAMPAIGN_STATUS_ENABLED,SP,MANUAL,Dynamic bids - down only,7/24/24,,Cutting Mat X-Detail,10.00,41.17647058823529%,CPC,17,3,0.1765,0.67,0.22,0,0,0.00,0,0,0,0,0.00,0,0,0.00,0,0,0,0,0,0,0,0.00
ENABLED,Cutting Mat MANUAL A4 Purple,CAMPAIGN_STATUS_ENABLED,SP,MANUAL,Dynamic bids - down only,7/24/24,,Cutting Mat X-Detail,10.00,50.0%,CPC,10,0,0,0.00,0.00,0,0,0.00,0,0,0,0,0.00,0,0,0.00,0,0,0,0,0,0,0,0.00
ENABLED,Cutting Mat MANUAL A4 Taupe,CAMPAIGN_STATUS_ENABLED,SP,MANUAL,Dynamic bids - down only,7/24/24,,Cutting Mat X-Detail,10.00,,CPC,0,0,0,0.00,0.00,0,0,0.00,0,0,0,0,0.00,0,0,0.00,0,0,0,0,0,0,0,0.00
