source_table,campaign_id,campaign_name,country,campaign_status
"brand_placement","413838476854176","SB VID Cutting Mat MANUAL ALL","","ENABLED"
"brand_placement","496184004053963","SB VID Cutting Mat MANUAL ALL","","ENABLED"
"brand_placement","531853068173372","SB VID Cutting Mat MANUAL ALL","","ENABLED"
"brand_placement","513709229264242","SB VID 380 Stretched Canvas CAT ALL","","ENABLED"
"brand_placement","521221592612371","SB VID 380 Stretched Canvas MANUAL ALL","","ENABLED"
"brand_placement","449187399742095","SB VID 280 Stretched Canvas MANUAL DETAIL","","ENABLED"
"brand_placement","394220869717013","SB VID Paint Brush MANUAL DETAIL","","ENABLED"
"brand_placement","385614418263197","SB VID 280 Stretched Canvas MANUAL ALL","","ENABLED"
"brand_placement","383149606688434","SB VID 280 Stretched Canvas MANUAL DETAIL","","PAUSED"
"brand_placement","511178909718995","SB VID 280 Stretched Canvas CAT ALL","","ENABLED"
"brand_placement","540501213615239","SB VID 280 Stretched Canvas MANUAL DETAIL","","ENABLED"
"brand_placement","507639938821977","SB VID 280 Stretched Canvas MANUAL DETAIL","","ENABLED"
"brand_placement","381891121493280","SB VID Cutting Mat CAT ALL","","ENABLED"
"brand_placement","383149606688434","SB VID 280 Stretched Canvas MANUAL DETAIL","","ENABLED"
"brand_placement","323887482225087","SB VID 380 Stretched Canvas MANUAL DETAIL","","ENABLED"
"brand_placement","306917668569851","SB VID 280 Stretched Canvas CAT ALL","","ENABLED"
"brand_placement","488378373068061","SB VID Cutting Mat Defensive to Mat","","ENABLED"
"brand_placement","315699613266232","SB VID Cutting Mat MANUAL ALL","","ENABLED"
"brand_placement","557100236062425","SB VID 280 Stretched Canvas CAT ALL","","ENABLED"
"brand_placement","506150338812345","SB VID 380 Stretched Canvas Defensive to 380 Stretched Canvas","","ENABLED"
"brand_placement","361517085222525","SB VID 280 Stretched Canvas MANUAL DETAIL","","ENABLED"
"brand_placement","370510089648187","SB VID Cutting Mat CAT ALL","","ENABLED"
"brand_placement","461824020559496","SB VID Cutting Mat MANUAL ALL","",""
"brand_placement","364648028968311","SB VID Cutting Mat CAT ALL","","ENABLED"
"brand_placement","384005319493704","Cutting Mat Store Brands Video MANUAL","",""
